Order_ID,Order_Date,Region,Category,Sales_Channel,Salesperson,Units_Sold,Unit_Price,Discount_Rate,Revenue,Cost,Profit
ORD10001,2025-01-03,Dhaka,Electronics,Online,Rahim,8,450,0.05,3420.00,2394.00,1026.00
ORD10002,2025-01-08,Chattogram,Furniture,Retail Store,Karim,4,780,0.10,2808.00,1965.60,842.40
ORD10003,2025-01-15,Rajshahi,Office Supplies,Corporate,Nusrat,12,85,0.03,989.40,702.47,286.93
ORD10004,2025-01-22,Khulna,Accessories,Online,Sadia,10,150,0.08,1380.00,897.00,483.00
ORD10005,2025-02-02,Sylhet,Electronics,Corporate,Tanvir,6,920,0.12,4857.60,3643.20,1214.40
ORD10006,2025-02-09,Dhaka,Furniture,Online,Jannat,5,650,0.07,3022.50,2145.98,876.53
ORD10007,2025-02-17,Chattogram,Accessories,Retail Store,Rahim,14,95,0.04,1276.60,830.79,445.81
ORD10008,2025-02-25,Rajshahi,Electronics,Online,Karim,3,1150,0.15,2932.50,2287.35,645.15
ORD10009,2025-03-04,Khulna,Office Supplies,Corporate,Nusrat,9,120,0.05,1026.00,687.42,338.58
ORD10010,2025-03-11,Dhaka,Electronics,Retail Store,Sadia,7,560,0.09,3567.20,2425.70,1141.50
ORD10011,2025-03-18,Sylhet,Furniture,Online,Tanvir,6,430,0.06,2419.20,1693.44,725.76
ORD10012,2025-03-27,Chattogram,Office Supplies,Retail Store,Jannat,15,75,0.02,1102.50,749.70,352.80
ORD10013,2025-04-05,Dhaka,Accessories,Corporate,Rahim,11,180,0.10,1782.00,1168.20,613.80
ORD10014,2025-04-14,Rajshahi,Electronics,Online,Karim,5,830,0.08,3818.00,2748.96,1069.04
ORD10015,2025-04-21,Khulna,Furniture,Retail Store,Nusrat,8,510,0.05,3876.00,2713.20,1162.80
ORD10016,2025-05-03,Sylhet,Accessories,Online,Sadia,13,125,0.07,1508.75,980.69,528.06
ORD10017,2025-05-10,Dhaka,Office Supplies,Corporate,Tanvir,10,210,0.04,2016.00,1391.04,624.96
ORD10018,2025-05-19,Chattogram,Electronics,Online,Jannat,4,990,0.11,3524.40,2537.57,986.83
ORD10019,2025-05-27,Rajshahi,Furniture,Retail Store,Rahim,7,720,0.06,4737.60,3363.70,1373.90
ORD10020,2025-06-06,Khulna,Accessories,Corporate,Karim,12,165,0.09,1801.80,1189.19,612.61
ORD10021,2025-06-15,Dhaka,Electronics,Online,Nusrat,9,670,0.05,5728.50,3895.38,1833.12
ORD10022,2025-06-24,Sylhet,Furniture,Retail Store,Sadia,3,890,0.10,2403.00,1682.10,720.90
ORD10023,2025-07-02,Chattogram,Office Supplies,Corporate,Tanvir,14,110,0.03,1489.40,1005.35,484.05
ORD10024,2025-07-11,Rajshahi,Accessories,Online,Jannat,8,240,0.12,1689.60,1098.24,591.36
ORD10025,2025-07-20,Dhaka,Electronics,Retail Store,Rahim,6,780,0.07,4352.40,3003.16,1349.24
ORD10026,2025-08-01,Khulna,Furniture,Online,Karim,9,590,0.05,5044.50,3478.71,1565.79
ORD10027,2025-08-09,Sylhet,Accessories,Corporate,Nusrat,15,135,0.08,1863.00,1285.47,577.53
ORD10028,2025-08-18,Dhaka,Office Supplies,Online,Sadia,11,160,0.06,1654.40,1091.90,562.50
ORD10029,2025-09-03,Chattogram,Electronics,Retail Store,Tanvir,5,1050,0.09,4777.50,3399.53,1377.97
ORD10030,2025-09-12,Rajshahi,Furniture,Corporate,Jannat,7,640,0.04,4300.80,2924.54,1376.26
ORD10031,2025-09-21,Khulna,Accessories,Online,Rahim,10,195,0.10,1755.00,1140.75,614.25
ORD10032,2025-10-02,Dhaka,Electronics,Corporate,Karim,8,880,0.06,6617.60,4566.14,2051.46
ORD10033,2025-10-11,Sylhet,Office Supplies,Retail Store,Nusrat,13,90,0.05,1111.50,766.94,344.57
ORD10034,2025-10-20,Chattogram,Furniture,Online,Sadia,6,760,0.08,4195.20,2894.69,1300.51
ORD10035,2025-11-04,Rajshahi,Accessories,Corporate,Tanvir,12,155,0.07,1729.80,1176.26,553.54
ORD10036,2025-11-13,Dhaka,Electronics,Online,Jannat,4,1250,0.12,4400.00,3124.00,1276.00
ORD10037,2025-11-22,Khulna,Furniture,Retail Store,Rahim,9,470,0.05,4018.50,2692.40,1326.11
ORD10038,2025-12-03,Sylhet,Office Supplies,Corporate,Karim,15,105,0.03,1527.75,1042.88,484.87
ORD10039,2025-12-12,Chattogram,Accessories,Online,Nusrat,7,220,0.09,1401.40,924.92,476.48
ORD10040,2025-12-21,Dhaka,Electronics,Retail Store,Sadia,10,730,0.06,6862.00,4734.78,2127.22
