Date,Region,Category,Product,Salesperson,Units,Revenue,Cost
2024-06-01,Australia,Menswear,Chino Pants,Online Store,3,212.37,107.12
2024-06-01,USA,Footwear,Leather Sneakers,Online Store,2,219.26,107.92
2024-06-02,Canada,Menswear,Bomber Jacket,Online Store,2,191.72,88.76
2024-06-03,Canada,Menswear,Oxford Shirt,Online Store,2,219.06,102.77
2024-06-04,Canada,Womenswear,Denim Jacket,Online Store,2,155.56,85.16
2024-06-04,USA,Accessories,Tote Bag,Online Store,2,41.22,18.73
2024-06-04,UK,Accessories,Leather Belt,Online Store,1,205.0,74.63
2024-06-05,Germany,Accessories,Leather Belt,Online Store,4,72.12,25.95
2024-06-05,Australia,Womenswear,Floral Dress,Online Store,4,380.04,180.87
2024-06-06,UK,Footwear,Sandals,Online Store,1,44.63,16.92
2024-06-07,Canada,Accessories,Tote Bag,Online Store,2,146.32,76.67
2024-06-07,Australia,Accessories,Tote Bag,Online Store,2,413.26,222.48
2024-06-08,UK,Accessories,Sunglasses,Online Store,4,653.04,296.07
2024-06-09,USA,Womenswear,Denim Jacket,Online Store,2,199.86,73.96
2024-06-10,UK,Footwear,Sandals,Online Store,3,287.34,102.0
2024-06-11,Germany,Womenswear,Denim Jacket,Online Store,2,415.26,177.7
2024-06-12,Germany,Footwear,Leather Sneakers,Online Store,3,168.6,83.82
2024-06-12,Australia,Menswear,Chino Pants,Online Store,2,145.5,76.54
2024-06-12,Canada,Accessories,Leather Belt,Online Store,2,295.18,150.14
2024-06-13,UK,Menswear,Bomber Jacket,Online Store,1,69.15,31.13
2024-06-13,Australia,Accessories,Leather Belt,Online Store,2,387.28,159.77
2024-06-14,USA,Footwear,Leather Sneakers,Online Store,4,345.44,150.76
2024-06-16,USA,Accessories,Leather Belt,Online Store,4,812.6,438.51
2024-06-16,Canada,Footwear,Ankle Boots,Online Store,4,619.52,231.0
2024-06-18,UK,Accessories,Tote Bag,Online Store,1,193.82,104.06
2024-06-18,Australia,Accessories,Sunglasses,Online Store,1,122.23,66.19
2024-06-18,Canada,Womenswear,Floral Dress,Online Store,3,621.96,264.55
2024-06-19,UK,Womenswear,Floral Dress,Online Store,1,166.17,64.57
2024-06-21,Australia,Accessories,Sunglasses,Online Store,3,280.56,153.3
2024-06-21,UK,Womenswear,Denim Jacket,Online Store,4,182.64,99.47
2024-06-22,Germany,Accessories,Tote Bag,Online Store,2,148.3,61.38
2024-06-22,UK,Accessories,Tote Bag,Online Store,4,674.4,239.44
2024-06-22,USA,Footwear,Sandals,Online Store,4,101.52,41.65
2024-06-23,Canada,Accessories,Leather Belt,Online Store,1,194.17,77.72
2024-06-24,UK,Accessories,Tote Bag,Online Store,1,67.04,34.01
2024-06-24,USA,Accessories,Leather Belt,Online Store,1,32.09,16.54
2024-06-24,UK,Accessories,Sunglasses,Online Store,4,397.56,184.49
2024-06-24,Australia,Womenswear,Floral Dress,Online Store,4,509.72,181.8
2024-06-26,USA,Footwear,Ankle Boots,Online Store,2,95.64,49.55
2024-06-27,USA,Womenswear,Floral Dress,Online Store,2,91.28,49.67
2024-06-27,Canada,Footwear,Leather Sneakers,Online Store,1,166.07,86.49
2024-06-28,Australia,Accessories,Leather Belt,Online Store,3,611.13,259.8
2024-06-28,Canada,Menswear,Chino Pants,Online Store,4,413.76,206.4
2024-06-29,Australia,Footwear,Ankle Boots,Online Store,4,228.44,118.08
2024-06-29,Canada,Accessories,Leather Belt,Online Store,1,132.21,54.81
2024-06-29,Canada,Accessories,Leather Belt,Online Store,3,413.22,160.25
2024-06-29,UK,Accessories,Sunglasses,Online Store,4,787.68,359.33
2024-06-30,Germany,Accessories,Sunglasses,Online Store,2,354.22,146.86
2024-07-01,Australia,Womenswear,Denim Jacket,Online Store,1,62.09,25.48
2024-07-01,UK,Womenswear,Floral Dress,Online Store,1,179.35,73.53
2024-07-01,Australia,Accessories,Tote Bag,Online Store,2,36.24,13.78
2024-07-02,USA,Womenswear,Floral Dress,Online Store,1,145.26,69.82
2024-07-02,Canada,Accessories,Sunglasses,Online Store,1,54.39,27.64
2024-07-03,UK,Accessories,Leather Belt,Online Store,1,107.11,39.55
2024-07-03,USA,Footwear,Ankle Boots,Online Store,2,60.28,24.81
2024-07-05,Australia,Footwear,Leather Sneakers,Online Store,4,147.12,57.14
2024-07-06,USA,Footwear,Sandals,Online Store,2,205.2,107.64
2024-07-06,USA,Menswear,Oxford Shirt,Online Store,1,152.62,59.43
2024-07-06,Australia,Footwear,Leather Sneakers,Online Store,3,426.54,199.9
2024-07-06,Australia,Footwear,Leather Sneakers,Online Store,2,174.6,93.89
2024-07-07,USA,Accessories,Sunglasses,Online Store,3,517.8,232.98
2024-07-07,Germany,Footwear,Sandals,Online Store,2,129.42,62.92
2024-07-08,Germany,Womenswear,Floral Dress,Online Store,2,131.24,57.27
2024-07-08,Australia,Womenswear,Wide-Leg Trousers,Online Store,1,173.45,65.31
2024-07-08,Australia,Womenswear,Wide-Leg Trousers,Online Store,4,870.28,465.3
2024-07-09,Germany,Footwear,Leather Sneakers,Online Store,1,177.15,89.13
2024-07-10,Australia,Accessories,Leather Belt,Online Store,4,701.4,368.07
2024-07-10,Australia,Womenswear,Wide-Leg Trousers,Online Store,2,251.5,116.0
2024-07-10,Australia,Menswear,Chino Pants,Online Store,3,124.71,67.26
2024-07-11,Australia,Footwear,Sandals,Online Store,2,180.16,64.68
2024-07-12,Australia,Footwear,Ankle Boots,Online Store,3,97.14,35.52
2024-07-12,Canada,Womenswear,Denim Jacket,Online Store,4,253.36,137.57
2024-07-14,UK,Accessories,Sunglasses,Online Store,1,81.22,33.22
